prodcode,bb,ace,arb,arnie,mra,sglti,loop
"55639",,1,,,,,
"56129",,1,,,,,
"61693",,1,,,,,
"51701",,1,,,,,
"47998",,1,,,,,
"43563",,1,,,,,
"50509",,1,,,,,
"5800",,1,,,,,
"82606",,1,,,,,
"8106",,1,,,,,
"34799",,1,,,,,
"37978",,1,,,,,
"71040",,1,,,,,
"59109",,1,,,,,
"67194",,1,,,,,
"34712",,1,,,,,
"56038",,1,,,,,
"48053",,1,,,,,
"68496",,1,,,,,
"79005",,1,,,,,
"60143",,1,,,,,
"56510",,1,,,,,
"3310",,1,,,,,
"46365",,1,,,,,
"19204",,1,,,,,
"56855",,1,,,,,
"37971",,1,,,,,
"60730",,1,,,,,
"55299",,1,,,,,
"77401",,1,,,,,
"19690",,1,,,,,
"62918",,1,,,,,
"43566",,1,,,,,
"5915",,1,,,,,
"69288",,1,,,,,
"34936",,1,,,,,
"29130",,1,,,,,
"45217",,1,,,,,
"64902",,1,,,,,
"71668",,1,,,,,
"14387",,1,,,,,
"65443",,1,,,,,
"21231",,1,,,,,
"9915",,1,,,,,
"196",,1,,,,,
"55896",,1,,,,,
"68094",,1,,,,,
"68381",,1,,,,,
"5612",,1,,,,,
"77831",,1,,,,,
"45264",,1,,,,,
"73459",,1,,,,,
"42901",,1,,,,,
"65102",,1,,,,,
"77129",,1,,,,,
"23642",,1,,,,,
"9948",,1,,,,,
"34877",,1,,,,,
"61067",,1,,,,,
"73672",,1,,,,,
"53058",,1,,,,,
"82557",,1,,,,,
"76920",,1,,,,,
"34710",,1,,,,,
"761",,1,,,,,
"33057",,1,,,,,
"4103",,1,,,,,
"76784",,1,,,,,
"60823",,1,,,,,
"64062",,1,,,,,
"32166",,1,,,,,
"52399",,1,,,,,
"77690",,1,,,,,
"78887",,1,,,,,
"80451",,1,,,,,
"59790",,1,,,,,
"67795",,1,,,,,
"76548",,1,,,,,
"32241",,1,,,,,
"77361",,1,,,,,
"49164",,1,,,,,
"1021",,1,,,,,
"79006",,1,,,,,
"46851",,1,,,,,
"60349",,1,,,,,
"6314",,1,,,,,
"17006",,1,,,,,
"1299",,1,,,,,
"56508",,1,,,,,
"85546",,1,,,,,
"36753",,1,,,,,
"81049",,1,,,,,
"44527",,1,,,,,
"45228",,1,,,,,
"61339",,1,,,,,
"75024",,1,,,,,
"16947",,1,,,,,
"60065",,1,,,,,
"60684",,1,,,,,
"72017",,1,,,,,
"77345",,1,,,,,
"45319",,1,,,,,
"9764",,1,,,,,
"43413",,1,,,,,
"79361",,1,,,,,
"55456",,1,,,,,
"38854",,1,,,,,
"58258",,1,,,,,
"57073",,1,,,,,
"448",,1,,,,,
"50347",,1,,,,,
"42081",,1,,,,,
"54345",,1,,,,,
"34400",,1,,,,,
"67767",,1,,,,,
"43418",,1,,,,,
"8026",,1,,,,,
"46890",,1,,,,,
"37087",,1,,,,,
"77665",,1,,,,,
"88430",,1,,,,,
"52882",,1,,,,,
"60067",,1,,,,,
"34589",,1,,,,,
"55399",,1,,,,,
"87080",,1,,,,,
